Tronc commun,,,Population,,,,,,,,,Mobilité,,,,,,,,,,Souhait,Evaluation de la démarche,,,
Pays de lumbres c'est quoi ?,Si autre Pays de Lumbres,Comment décrivez-vous ce territoire ?,Qu'est-ce qui attire les nouveaux habitants ?,Pourquoi ?,Quelle raison villes éloignées ?,Etes-vous satisfait de l'offre santé ?,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,"Voiture, qu'en pensez vous ?",Transports en commun,Commentaire,Vélo,Commentaire,Marche à pied,Commentaire,Covoiturage,Commentaire,Pourquoi ?,"Si vous aviez une baguette magique, qu'est-ce que vous changeriez sur le territoire ?",,Si oui comment ?,Si autre moyen,Que pensez-vous de cette démarche de concertation ?
Je ne sais pas,,Je me plais bien à Nielles,"Village beau et tout ce qu'il faut. Médecins, boulangerie, activités. ",Peut être qu'il y a beaucoup de magasins qui ferment,Ne sait pas,beaucoup,"Nielles, médecins, pharmacie, Kiné, infirmière","Foot. Salle de sport, danse, gym",Nielles : bibliothèques,,,On n'a pas le choix. Pour se déplacer pour le travail,Non pas du tout,,Non pas du tout,,Je le fais déjà pour,Très peu pour se promener,Non pas du tout,,,Tout va bien ,,,,C'est bien 
Je ne sais pas,,"J'ai toujours habité Nielles. C'est magnifique comme paysage. On a pas mal de commodités. MARPA, supermarché, café, docteur",La vie à la campagne à proximité des villes,Ne sait pas,Le prix des terrains/locations,oui,,Manque d'équipements sportifs pour les enfants,,C'est Lumbres où le supermarché de dépannage du village,,On n'est pas dépendant de personne,Non pas du tout,,Je le fais déjà pour,Mes balades,Je le fais déjà pour,Pas beaucoup,Non pas du tout,,On avait un village bien tranquille avant ce type de logements,Transport/ramassage scolaire à Nielles,,,,
un territoire,,"Nielles : c'est un village plaisant et on a tout ce qu'il faut : commerces, services, docteur, école",C'est un pays plaisant et on a tout sous la main et puis on a la tranquilité,Impôt plus cher,Au village on est tranquille : tranquilité et sécurité,beaucoup,"Médecin, pharma, kiné, infirmière où on va à St Omer",Salle des fêtes. Nielles --> association sportives,Salle des fêtes,"2 boulangeries, magasins de dépannage, boucher. 2 cafés. Marchand de volaille",ADMR Niels,Y vont travailler en dehors. On a plus de bus. ,J'aimerais mais,Il n'y en a pas,Non pas du tout,,Je le fais déjà pour,Pour me promener,Non pas du tout,,Mais modérément --> qui respectent les gens. Il devrait y avoir des lois. Mais ça gène à cause du bruit,Les retraites supplémentaires,,,,C'est bien
un territoire,,"60 ans que j'habite à Nielles. Tout va bien, on a tout sur place",Le cadre de la campagne et on trouve sur le village et à proximité,"Dû au travail, il n'y a plus rien. La verie qui a fermé, tourne au ralenti des habitants de Lumbres qui venaient travailler à Ariques.",Problème du chômage,beaucoup,Pharmacie,,Salle des fêtes,Café qui vient d'ouvrir avec du dépannage,,Il n'y a que ça comme mayen de transport,Non pas du tout,,Non pas du tout,,Non pas du tout,,Non pas du tout,,Il n'y a plus de travaille. Saint Omer se débarasse des cas sociaux,Tout va bien ,,,,C'est bien
un territoire,,Vaste et dynamique,être au milieu des villes saint omer et boulogne et apprécier la qualité de vie au village,"Lumbres tout ferme, ça meurt. Usines ferment",Tranquilité et espace,oui,,,,Manque de magasins de bricolages/vêtements,ADMR Nielles,C'est logique pour se déplacer,J'aimerais mais,Il n'y en a pas,Je le fais déjà pour,Mes balades,Je le fais déjà pour,Les courses et mes balades,J'accepterais si,je pouvais,"Il faudrait des gens qui prendraient en main ces nouveaux arrivants, souvent déscolarisés/sans emploi",Redynamiser certaines communes isolées,,,,C'est bien de faire ça avec nous
autre,Un regroupement de toutes les communes autour de Lumbres,"On est satisfait, on aime bien votre vallée","On est entre St Omer et Boulogne. Lumbre, zone d'activité qui se développe. Niveau médical, il y a un peu de tout sur le secteur. Ecoles, activités sportives pour les enfants",Moins de personnes qui travaillent aux usines (cimenterie) et le centre pas terrible,Les gens - meilleue qualité de vie/campagne,Pas vraiment,"Spécialites, il en manque",,"A part la médiathèque, bibliothèque","à part le centre leclerc. Manque de magasin de bricolage, habillement, électroménager",Aide à domicile/soin. ADMR,"On est plus rural, il faut au moins 2 voitures",J'aimerais mais,Il n'y en a pas,Je le fais déjà pour,Les courses au village et les balades,Je le fais déjà pour,Les courses au village et les balades,Je le fais déjà pour,Mon travail de temps en temps,"A Nielles, il y en a déjà un peu. Mais il faudrait que les structures suivent",Redynamiser le centre de Lumbres,,Facebook,,"C'est bien, au moins on est impliqué"
un territoire,,J'y suis né,Je me le demande. C'est pas le soleil. Le travail à proximité,Beaucoup moins d'emplois dans les usines. SICALI,Le prix des terrains,Pas du tout,Cabinet médical de Lumbres --> vieux batiment où il faut monter à l'étage. Difficile pour les personnes agées. Les médecins ne veulent pas venir,,Il faut venir à Saint Omer,"Au centre de Lumbres, il n'y a plus rine. On ne peux pas avoir un grand supermarché et avoir un centre actif et dynamique. Alors qu'à Ardres (asso dynamique d'Avres",,"C'est normal, mais s'il y avait des transports en commun personne ne les prendrait",Non pas du tout,Mon travail,Je le fais déjà pour,"Aller chez mes parents, mais c'est dangereux avec les gros camions. Pas de pistes cyclables",Je le fais déjà pour,"Mes balades, mes courses. Lumbres-Wavrans",Non pas du tout,,,"3 domaines : la santé, les commerces, et la mobilité. ",,autre,Sur le journal,Il faut que ça serve par contre
Je ne sais pas,,C'est rural,La verdure. Permet de se ressourcer. C'est hors ville. Le bien être de la campagne,Les gens veulent la campagne,"Se retirer en camapgne. Et il y a tout pour venir à Saint Omer, Lumbres --> transports, bus, taxis pour les personnes âgées",Pas vraiment,,A Arcques : gymnasme. Mal adapté. Soit il y a 1 truc gros. Une grande structure,,,,Plus pour le bien être,J'accepterais si,il y en avait,Je le fais déjà pour,,Je le fais déjà pour,,Non pas du tout,,,Ne sait pas,,,,C'est bien
un territoire,,C'est la campagne,"Le calme de la campagne, meilleure vie",Magasins qui ont fermé,Le prix des terrains,Pas vraiment,Médecins facile mais pour les spécialistes : Calais ou Boulogne,Pas d'activités dans les petites communes. Lumbres,"A Lumbres, une bibliothèque",,,"C'est un choix de venir habiter en campagne, c'est normal de prendre la voiture pour avoir accès à tout",J'accepterais si,Il y en avait pour les enfants. ,Je le fais déjà pour,Mes balades,Je le fais déjà pour,Mes balades,Non pas du tout,,,Ne sait pas,,autre,Bouche à Oreille,Bien
un regroupement de 36 communes,,Il y a des beaux endroits,Beaux endroits,Ne sait pas,Ne sait pas,oui,Mais avoir un médecin le week end ça devient difficile,Un skate-parc et le bicross. Une salle de Muscu ,Un cinéma a dev,,,"C'est normal pas assez de transport. A dev, transports pour les enfants, ramassage scolaire",Je le fais déjà pour,Bus STO,Je le fais déjà pour,Mes balades,Je le fais déjà pour,Mes balades,Non pas du tout,,,Activités pour les jeunes,,,,Les gens peuvent expliquer ce qui manque
